,id,title,description,topics
0,11634703.0,All Five Senses,<p><strong>Course Overview</strong></p><p>Imagine yourself with the storytelling ability to captivate every audience. You can become a captivating speaker and presenter after you earn the techniques of expert storytelling. Becoming good at storytelling is not a difficult art reserved for the highly talented and gifted. Speaking expert TJ Walker breaks down all the steps needed to become comfortable and skilled at storytelling.</p><p>This video forms part of the course <i>The Complete Storytelling Course for Speaking &amp; Presenting</i></p>,
1,14269080.0,Adding Security for MVC Endpoints,"This video forms part of the course <i>Hands-On Application Development with Spring Boot 2
</i><br /><p> Spring Boot is the fastest way to get a Spring  application up and running with the fewest lines of code and the least configuration. It aims to make development easy so you can create production-grade applications and services. The Spring  framework provides a great toolkit for the development of complex applications. In this course, we’ll fully leverage Spring Boot’s capabilities to create a payment system application and secure it with Spring Security. 

This course provides a hands-on approach to building a payment system application from scratch using Spring Boot 2. 0. You’ll begin by setting up Spring Boot together with Spring’s most powerful feature: Dependency Injection. Then you’ll build a data access layer with Spring data and rework it to be highly performant using Spring data reactive. Next, you’ll learn about Spring rest and servlets and use it to expose resources via HTTP endpoints. 
Later you’ll use Spring MVC to build an interface for the payment system. Moving on, you’ll expose critical business metrics using MicroMeter library and Spring actuator with Prometheus library. Finally, you’ll package your application into a Docker container and deploy your application into the cloud. 

</p><br /><p><strong>Target Audience</strong></p><p>This course is for developers who want to get hands-on with Spring Boot and use it to develop their business applications. We assume that you have a working knowledge of the Java programming language. Prior knowledge of Spring Boot is not mandatory. </p>",
2,36485709.0,Effective Negotiation-Sprint,"The course covers, Introduction to Negotiation , Negotiation myths busted , Key concepts , Negotiation process , Techniques of negotiation , Slicing the pie , Frequently asked questions , Barriers or cognitive traps",
3,36472771.0,Gestión de proyectos: Introducción I Project Management: Introduction (ES),"<p>Iniciar un proyecto puede parecer un panorama intimidante.  Entenderás por qué es importante saber la diferencia entre un proyecto y una tarea o programa. Te ayudaremos a entender definiciones clave utilizadas en la gestión de proyectos y las responsabilidades y atributos de los jefes de proyecto efectivos. Descubrirás las cuatro fases de la gestión de proyectos, de vital importancia para el éxito de cualquier proyecto.</p>",
4,36227860.0,Cambio organizacional en el mundo moderno (Change Management in the Modern World),"En este módulo, veremos algunos ejemplos sobre cambios en el mundo empresarial y sobre como tú, como líder, debes gestionar cambios grandes y pequeños.
Este módulo de micro-aprendizaje tiene una duración de siete minutos, y contiene un test de opciones múltiples diseñado para teléfonos móviles, computadoras de escritorio, laptops y tablets.",
5,8579967.0,How to Market Yourself (Children and Family Photography),"<div><span><br /></span></div><span>The best family portraits are those that capture the true spirit and personalities of their subjects. In Children and Family Photography, Tamara Lackey will teach you how to photograph individual children, sibling groups, and complete families in an authentic and exciting new way.</span><br /><br /><span>Tamara is a celebrated family and lifestyle photographer. In this class, she’ll teach you how to beautifully light, pose, and creatively photograph children and their families. </span><div><span><br /></span></div><div><span>You’ll learn about:</span><br /><ul><li><span>The gear that’ll help you get you great shots</span></li><li><span>Which lights to use and when to use them</span></li><li><span>How to integrate the location into the shoot</span></li><li><span>Digital workflow and album design</span></li></ul><span></span><div><span><br /></span></div>Through instruction and demonstration shoots, Tamara will share her top tips on posing and lighting and she’ll teach you how to get everyone into a great group shot. You’ll also learn about what goes into her sales sessions and how she handles prints and portrait albums.<br /><br /><span>Whether you are a parent who wants to take better photographs for the family album or an experienced photographer hoping to expand into the family photography business – this class will equip you with the insights and skills you need to produce photographs that feel natural and look great. </span><div></div></div>",
6,36216270.0,Hazardous Materials Labels - Hazardous Waste Labels,"<p><strong>Description</strong></p><p>MARCOM's Micro-Learning course on ""Hazardous Materials Labels: Hazardous Waste Labels"" provides employees with important information about this topic. These targeted 3 - 5 minute video-based SCORM ""info-nuggets"" focus on a single skill or topic area that employees need to understand to work safely and include a 5 - 6 question test.<br /></p><p><strong>Course Duration</strong></p><p>3 Minutes</p>",
7,15435560.0,Noise Awareness in the Workplace,"<p>This online Noise Awareness Training course looks at what can be done to recognise and reduce exposure to noise at work. Particularly suitable for those working in Construction or Industrial environments, as well as Hospitality and Leisure professionals.</p>",
8,8538443.0,Mobile Recording with IK Multimedia,"Mobile recording tools are more powerful and more affordable than ever. Musicians, producers, and engineers use iOS and Android DAWs, guitar amps and drum production platforms both live on stage and in the studio.<br /><p>

The dream of having a recording studio in your pocket wherever you go is finally becoming a reality. IK Multimedia has released a number of products that allow music creators to play and record wherever they are.</p><br /><p>

In Mobile Recording with IK Multimedia, you’ll learn how to use Amplitube 4 for iOS with IK’s iRig Pro to record and play guitar through 26 different amplifiers and cabinets.</p><br /><p>

 

I Declare War guitarist, John Winters will demo the app and build a track using the new Super-looper feature. You’ll also learn how to program beats with SampleTank for iPad and IK’s iRig Pads. Electronic artist, IG88 will show you how to produce a track live with Sampletank.</p><br /><p>

 

You’ll also see first hand how Audiobus has created a world of possibilities by allowing third-party apps to route audio between them, turning your iPad or iPhone into a complete mobile studio. </p>",
9,36401967.0,Six Sigma Black Belt Certification: Six Sigma Phase 0 & 1,"<p><strong>The Six Sigma Black Belt Certification is a gold standard for Process Improvement, with over 10,000 open Six Sigma jobs in the US alone.</strong></p>

<p>In this Six Sigma Black Belt Certification Video based boot-camp, you will get all our Six Sigma Black Belt Phase 0 (Pre-Define) and Phase 1 (Define) videos, downloadable slides for both the phases, 30 practice questions, and answers to key questions asked by upcoming Six Sigma Black Belt professionals.</p>

<p><strong>The only prerequisite to apply for this Black Belt Certification course is that you should have completed AIGPE's Six Sigma Green Belt training and achieved its Certificate of Completion. There is no other prerequisite.</strong></p>

<p>In Phase 0 (Pre-Define) we will cover:</p>

<ul>
	<li>Introduction to Pre-Define</li>
	<li>History of Continuous Improvements</li>
	<li>Value and Foundations of Six Sigma and Lean</li>
	<li>Integration of Lean and Six Sigma</li>
	<li>Business Processes and Systems</li>
	<li>Enterprise Leadership Responsibilities</li>
	<li>Organizational Roadblocks</li>
	<li>Change Management</li>
	<li>Six Sigma Roles and Responsibilities</li>
</ul>

<p>In Phase 1 (Define) we will cover:</p>

<ul>
	<li>Introduction to Define</li>
	<li>Voice of Customer (VOC)</li>
	<li>Impact on Stakeholders</li>
	<li>Affinity Diagram</li>
	<li>Translating Needs to Requirements</li>
	<li>Kano Analysis</li>
	<li>Critical-to-Quality (CTQ)</li>
	<li>Critical to x (CTx) Requirements</li>
	<li>Benchmarking</li>
	<li>Business Performance Measures</li>
	<li>Financial Measures</li>
	<li>Project Charter</li>
	<li>Team Management</li>
	<li>ARMI, RACI, Stakeholder Analysis</li>
	<li>Elevator Speech</li>
	<li>SIPOC</li>
</ul>

<p>Key topics that are covered in AIGPE's Green Belt training are recalled in this Black Belt training. Hence, it is critical that you should have completed AIGPE's Green Belt training before applying for this course.</p>",
